time(s)	X(pixel)	Y(pixel)
0,00000	518,00000	319,00000
0,10000	520,91150	368,86115
0,20000	521,68365	418,31302
0,30000	521,68365	443,31302
0,40000	519,18860	493,87952
0,50000	521,80743	542,56537
0,60000	520,44086	593,88727
0,70000	522,91150	638,86115
0,80000	522,41040	664,27161
0,90000	523,06335	687,77258
1,00000	524,08606	735,14038
1,10000	523,80743	759,56537
1,20000	525,67682	806,46515
1,30000	524,67023	854,32855
1,40000	526,31189	900,98859
