time(s)	X(pixel)	Y(pixel)
0,00000	453,00000	287,00000
0,10000	454,20038	311,79495
0,20000	454,61081	346,87845
0,30000	453,52646	357,85303
0,40000	455,30276	380,96954
0,50000	455,74854	391,90152
0,60000	453,86694	418,46866
0,70000	455,72079	439,99512
0,80000	455,72079	464,99512
0,90000	456,13962	486,99878
1,00000	458,39545	520,56415
1,10000	455,35712	534,70935
1,20000	457,30276	556,96954
1,30000	460,75153	579,03766
1,40000	460,54401	602,85083
1,50000	461,87164	625,14227
1,60000	460,44272	648,75470
1,70000	463,74954	660,38092
1,80000	463,44678	681,58862
1,90000	460,61905	705,25049
