time(s)	X(pixel)	Y(pixel)
0,00000	426,00000	264,00000
0,10000	426,48978	288,70108
0,20000	425,58136	301,32574
0,30000	428,00000	313,00000
0,40000	426,37674	338,11877
0,50000	427,60095	361,92960
0,60000	428,24384	386,25641
0,70000	428,79904	398,39752
0,80000	427,96402	434,87814
0,90000	429,14767	446,61771
1,00000	428,92593	470,75693
1,10000	429,19156	482,86798
1,20000	428,48978	506,70108
1,30000	429,75259	518,27924
1,40000	429,96402	541,87811
1,50000	430,79904	565,39752
1,60000	429,92593	588,75690
1,70000	429,00000	612,00000
1,80000	429,48978	624,70111
1,90000	430,88574	635,63641
2,00000	431,09509	658,36908
2,10000	430,06552	681,24554
2,20000	430,96402	704,87811
2,30000	432,23669	714,75549
2,40000	433,10184	748,97083
2,50000	431,88574	762,63641
2,60000	437,76331	792,24451
2,70000	432,00000	808,00000
