time(s)	X(pixel)	Y(pixel)
0,00000	565,20758	509,10837
0,10000	566,78876	516,89899
0,20000	566,10425	534,05328
0,30000	566,00000	552,00000
0,40000	566,41125	567,22388
0,50000	566,20758	576,10834
0,60000	566,41125	592,22388
0,70000	567,10425	610,05328
0,80000	567,78876	626,89899
0,90000	566,51154	633,28430
1,00000	567,30988	650,16522
1,10000	566,51154	666,28430
1,20000	568,51154	674,28430
1,30000	567,41125	691,22388
1,40000	568,30988	707,16522
1,50000	569,10425	723,05328
1,60000	568,41125	739,22388
1,70000	569,00000	757,00000
1,80000	569,41125	771,22388
1,90000	569,30988	788,16522
