time(s)	X(pixel)	Y(pixel)
0,00000	428,51651	263,27539
0,10000	428,50278	288,90530
0,20000	427,85254	302,47385
0,30000	427,88986	314,85513
0,40000	428,92734	337,53214
0,50000	429,08423	362,87234
0,60000	429,69522	386,84131
0,70000	429,62234	398,13153
0,80000	430,74695	434,89011
0,90000	430,01788	448,57742
1,00000	430,74405	471,46518
1,10000	431,72003	482,82318
1,20000	431,66510	507,94434
1,30000	431,34308	519,79321
1,40000	432,90530	542,49719
1,50000	432,00006	567,22968
1,60000	432,50037	589,83087
1,70000	433,65012	613,33331
1,80000	433,47385	625,14746
1,90000	433,85782	636,97510
2,00000	432,15869	661,69519
2,10000	435,02271	683,98865
2,20000	433,85254	708,47382
2,30000	435,37314	717,31464
2,40000	436,22968	750,99994
2,50000	436,73318	763,66583
2,60000	435,29477	787,10120
2,70000	437,72003	810,82318
2,80000	437,01672	819,82733
2,90000	437,65012	842,33331
